rank,id,lon,lat,area,source,
100,1040040200,25.95208333,-20.93958333,644114.32,hydrosheds,
101,6040011780,-36.40625,-10.46458333,637199.24,hydrosheds,
102,4040050220,59.71458333,44.90625,622506.92,hydrosheds,
103,7040008710,-114.95625,31.91875,620437.52,hydrosheds,
104,4152050,-114.6319,32.7317,618715,grdc,
105,4040136250,127.5895833,50.24375,616425.36,hydrosheds,
106,7040394690,-122.7604167,45.65625,610224.8,hydrosheds,
107,1040695700,14.53125,13.07291667,609863.64,hydrosheds,
108,1040837630,30.50625,9.51875,608100.92,hydrosheds,
109,8040264770,-114.1604167,61.30625,607758.56,hydrosheds,
110,1041923540,14.88958333,12.16458333,604000.8,hydrosheds,
111,3040481940,68.21875,58.16041667,600578.8,hydrosheds,
112,5204252,142.38,-32.4353,575000,grdc,
113,6040752460,-53.11458333,-22.62708333,574726.56,hydrosheds,
114,7040395190,-120.9145833,45.63958333,571393.92,hydrosheds,
115,7040192560,-98.09791667,53.32291667,561701.8,hydrosheds,
116,4041128230,105.95625,13.54375,560097.56,hydrosheds,
117,3040411570,120.6729167,60.38125,557028.48,hydrosheds,
118,1040837890,30.50625,9.514583333,552637.44,hydrosheds,
119,4040186800,132.51875,47.69791667,552629.8,hydrosheds,
120,4040627250,110.2770833,34.61875,548969.24,hydrosheds,
121,6040084790,-66.34375,7.614583333,548819.12,hydrosheds,
122,4040960200,89.73958333,23.80625,539868.48,hydrosheds,
123,7040612640,-89.13125,36.98958333,527761.24,hydrosheds,
124,2040309610,49.35208333,55.16041667,523324.28,hydrosheds,
125,1040722570,2.835416667,12.41458333,520941.92,hydrosheds,
126,1040734190,15.04375,12.09791667,515497.96,hydrosheds,
127,1041144990,42.58958333,-0.05625,513313.96,hydrosheds,
128,6040239820,-51.79791667,-1.502083333,513313.48,hydrosheds,
129,2040007930,32.37708333,46.52708333,509823.48,hydrosheds,
130,8040176060,-152.34375,65.16458333,509645.08,hydrosheds,
131,4040603570,110.4229167,35.33125,506503.32,hydrosheds,
