id,lon,lat,area,source
1040040870,-9.814583333,25.02708333,21076.19,hydrosheds
1040040890,-6.514583333,24.66041667,20633.48,hydrosheds
1040040900,40.40625,14.02708333,18913.81,hydrosheds
1040040920,36.91041667,4.689583333,18650.81,hydrosheds
1040040960,-5.00625,20.70208333,16957.19,hydrosheds
1040040970,28.18958333,27.32708333,16948.85,hydrosheds
1040040990,27.05625,29.91041667,16441.18,hydrosheds
1040041020,35.97291667,-2.552083333,16235.44,hydrosheds
1040041030,12.96458333,20.20208333,16108.54,hydrosheds
1040041040,30.56875,23.46041667,16066.26,hydrosheds
1040041070,2.927083333,30.44375,15429.59,hydrosheds
1040041200,-3.185416667,25.33125,13935.29,hydrosheds
1040041270,36.56041667,2.247916667,13038.12,hydrosheds
1040041310,15.01875,27.58541667,12520.86,hydrosheds
1040041430,12.58958333,28.42708333,10605.32,hydrosheds
1040526810,33.97708333,17.67708333,205095.16,hydrosheds
1040526970,33.97291667,17.67291667,2045604.8,hydrosheds
1040571730,-15.69375,16.47291667,393519.68,hydrosheds
1040571900,-15.69375,16.46875,45291.48,hydrosheds
1040601190,32.50208333,15.63958333,1670929.92,hydrosheds
1040601200,32.50625,15.63958333,308194.62,hydrosheds
1040633360,-12.05625,14.72291667,42008.4,hydrosheds
1040633540,-12.05625,14.71875,255072.1,hydrosheds
1040641660,-4.20625,14.50625,145807.12,hydrosheds
1040641670,-4.202083333,14.50625,129494.38,hydrosheds
1040644790,-11.38958333,14.42708333,102685.1,hydrosheds
1040644920,-11.38958333,14.42291667,148278.58,hydrosheds
1040667360,-10.81875,13.81041667,102170.66,hydrosheds
1040667560,-10.82708333,13.80625,38996.71,hydrosheds
1040695300,14.52291667,13.08125,249808.12,hydrosheds
1040695540,14.52291667,13.07708333,89011.98,hydrosheds
1040695700,14.53125,13.07291667,609863.64,hydrosheds
1040709030,-3.41875,12.74375,31187.86,hydrosheds
1040709280,-3.41875,12.73958333,20526.98,hydrosheds
1040722570,2.835416667,12.41458333,520941.92,hydrosheds
1040722720,2.83125,12.41041667,726920.16,hydrosheds
1040734180,15.03958333,12.09791667,88321.46,hydrosheds
1040734190,15.04375,12.09791667,515497.96,hydrosheds
1040760280,4.11875,11.38541667,1360282.56,hydrosheds
1040760290,4.122916667,11.38541667,182447.06,hydrosheds
1040786690,-2.935416667,10.71041667,86226.4,hydrosheds
1040786860,-2.935416667,10.70625,15300.93,hydrosheds
1040837630,30.50625,9.51875,608100.92,hydrosheds
1040837890,30.50625,9.514583333,552637.44,hydrosheds
1040840230,18.08958333,9.45625,144860.36,hydrosheds
